EmployeeID,Name,Department,Gender,Age,Salary,YearsExperience,TrainingCompleted
1,Employee1,HR,F,49,3640,14,Yes
2,Employee2,Sales,F,46,4802,0,No
3,Employee3,HR,F,28,5520,4,No
4,Employee4,HR,M,22,4969,15,Yes
5,Employee5,Sales,M,22,5198,18,No
6,Employee6,Sales,M,46,4438,3,No
7,Employee7,HR,M,48,6369,2,No
8,Employee8,IT,F,46,4634,16,Yes
9,Employee9,HR,M,41,3262,16,Yes
10,Employee10,HR,M,34,4787,11,Yes
11,Employee11,HR,M,30,5191,13,No
12,Employee12,HR,M,24,5393,20,No
13,Employee13,Sales,M,28,3623,5,No
14,Employee14,HR,F,27,4016,2,Yes
15,Employee15,IT,M,29,6643,8,No
16,Employee16,Sales,F,48,3880,4,No
17,Employee17,IT,M,30,5049,23,No
18,Employee18,IT,F,26,5944,16,No
19,Employee19,IT,M,22,4327,13,Yes
20,Employee20,IT,M,40,5301,20,Yes
21,Employee21,Sales,F,31,6723,2,No
22,Employee22,Sales,F,33,3452,0,Yes
23,Employee23,IT,F,45,6108,19,Yes
24,Employee24,IT,M,36,4183,20,No
25,Employee25,Sales,F,48,6062,22,No
26,Employee26,Sales,M,43,5056,0,Yes
27,Employee27,Sales,M,45,6304,2,No
28,Employee28,HR,F,30,6170,17,Yes
29,Employee29,HR,F,41,4682,24,No
30,Employee30,HR,M,38,5863,9,Yes
31,Employee31,IT,M,38,5255,21,No
32,Employee32,HR,F,47,4154,25,Yes
33,Employee33,IT,F,41,3403,2,Yes
34,Employee34,IT,F,33,5199,7,Yes
35,Employee35,HR,M,28,5101,13,No
36,Employee36,IT,M,23,6191,23,Yes
37,Employee37,HR,M,24,4696,17,Yes
38,Employee38,HR,M,38,6991,14,No
39,Employee39,Sales,M,26,3627,21,No
40,Employee40,HR,M,38,3586,22,Yes
41,Employee41,Sales,F,45,4648,1,Yes
42,Employee42,HR,M,38,4443,9,No
43,Employee43,HR,M,48,4445,1,No
44,Employee44,Sales,M,38,3103,25,No
45,Employee45,Sales,F,23,6923,16,No
46,Employee46,HR,M,23,3253,7,No
47,Employee47,IT,M,49,6298,0,Yes
48,Employee48,Sales,F,43,6183,8,No
49,Employee49,IT,M,44,5557,10,Yes
50,Employee50,IT,M,26,4496,21,Yes
51,Employee51,IT,M,22,3098,15,Yes
52,Employee52,Sales,M,22,5200,6,No
53,Employee53,IT,M,40,4884,9,Yes
54,Employee54,Sales,F,23,5961,22,Yes
55,Employee55,IT,F,42,4919,25,No
56,Employee56,HR,F,33,3877,2,Yes
57,Employee57,HR,M,47,3337,17,Yes
58,Employee58,Sales,M,27,6777,24,No
59,Employee59,HR,M,44,5869,23,Yes
60,Employee60,HR,F,25,6234,12,Yes
61,Employee61,IT,M,44,6791,25,Yes
62,Employee62,Sales,M,32,3956,6,No
63,Employee63,IT,F,45,4704,24,No
64,Employee64,IT,M,48,3160,3,No
65,Employee65,IT,F,38,4603,12,Yes
66,Employee66,IT,F,27,5848,19,Yes
67,Employee67,IT,F,45,3397,0,No
68,Employee68,IT,M,26,4300,7,Yes
69,Employee69,IT,M,41,3815,13,Yes
70,Employee70,Sales,M,23,6987,15,No
71,Employee71,HR,M,27,4527,13,No
72,Employee72,IT,M,43,4919,11,Yes
73,Employee73,IT,M,32,4415,18,Yes
74,Employee74,IT,M,37,4158,22,Yes
75,Employee75,IT,F,37,4218,14,No
76,Employee76,IT,M,22,3400,1,No
77,Employee77,IT,F,30,3639,1,No
78,Employee78,HR,M,49,6104,22,No
79,Employee79,HR,M,48,5735,21,Yes
80,Employee80,IT,M,27,3459,18,No
81,Employee81,HR,F,37,3954,24,No
82,Employee82,Sales,F,50,6954,25,No
83,Employee83,IT,F,24,3469,21,No
84,Employee84,Sales,F,41,6446,25,No
85,Employee85,Sales,M,49,4045,25,Yes
86,Employee86,IT,F,48,5797,21,Yes
87,Employee87,HR,M,25,4693,16,No
88,Employee88,Sales,M,40,5085,19,Yes
89,Employee89,IT,F,47,5277,9,No
90,Employee90,Sales,F,24,6436,5,No
91,Employee91,Sales,F,40,3562,14,Yes
92,Employee92,Sales,F,41,5485,21,Yes
93,Employee93,Sales,F,28,4799,10,No
94,Employee94,HR,F,41,6354,4,No
95,Employee95,Sales,F,30,5074,0,No
96,Employee96,Sales,F,22,3225,7,Yes
97,Employee97,Sales,M,29,6348,20,No
98,Employee98,HR,F,28,3797,11,No
99,Employee99,Sales,F,39,6680,11,No
100,Employee100,Sales,M,29,5331,4,Yes
